"tweet_text","topic"
"Disgusting dead beat dad cheated on his wife and mistresses just as disgusting as Donald J Trump","Imp"
"RT During trumps 2nd impeachment trial there should be so much tech data that confirms that trump is guilty of inciting t…","Imp"
"RT Al Green amp Company","Imp"
"House Democrats are proposing to limit the next round of stimulus checks to households earning less than 200000","Imp"
"Have enough courage to do your job or step aside Hiding and Avoidance because you are afraid of Trump…","Imp"
"RT Trump's defenders claim he didn't incite the Jan 6 violence because he used the word ""peacefully"" once in his hour+ speech H…","Imp"
"RT If the Jan6 organizers were Trump supporters then why did they attack us while we were objecting to electoral college vote…","Imp"
"DO NOT allow this Trump will just use the optics of it to make false claims about his loss He's all about…","Imp"
"RT Poll 70% of Republicans Thought Effort to Overturn Election Results Was “Justified”","Imp"
"RT After you killed half a million Americans and stole trillions of dollars out of our government Yeah Maximum pain inf…","Imp"
"I mean damn Q keeps changing the endoftheworld date on em (meanwhile continuously asking for donat…","Imp"
"RT In today's our polling cited as demystifies the popularity of Governor Charlie Baker and…","Imp"
"RT Trying to find the part of the constitution where “because I hate him” is grounds for impeachment","Imp"
"RT If this were a secret ballot Trump’s conviction would be close to unanimous For the sake of the preservation of Democracy…","Imp"
"RT It's funny The same crooked shit they were hunting for in Hillary's emails that they wanted to lock her up for is the…","Imp"
"RT to recap— Trump is a genius but you can't see his grades Trump is rich but you can't see his tax returns Trump is heal…","Imp"
"RT Wait till you hear what happened to Lincoln after that crazy story","Imp"
"RT So want to have a Senate trial today for a former President should be worried He used the CI…","Imp"
"RT Trump's first postimpeachment acquittal rally is in the books Notably he repeatedly encouraged his fans to cast dishonest v…","Imp"
"RT Instead of quoting a movie line as much as I love them I prefer the man himself ""I want to remind my fel…","Imp"
"I dont cross the river much we all know its not boarded up for Trump…","Imp"
"RT Who remembers when Bush dismissed 7 attorneys and how big of a news story that was Biden does it and legacy media is quiet ht…","Imp"
"RT For today's podcast catch amp chat with as they preview the start of Trump's I…","Imp"
"RT ""So there was a plan Everybody knew It all turned out just as it was scripted"" The best evidence the Trump “incitem…","Imp"
"RT DHS spokesperson on what they missed in prepping for Jan 6 ""The unit didn’t know in advance what Mr Trump would say…","Imp"
"RT This is Donald Trump's insurrection","Imp"
"RT Donald Trump incited the insurrection","Imp"
"RT Fight Fight Fight Fight Fight Fight Fight Fight Fight Fight Fight Fight Fight Figh…","Imp"
"RT ""It’s a blatant due process violation"" Former Independent Counsel Ken Starr on the Democrats' sham impeachment of for…","Imp"
"That’s 64000000 of the 100MIL REPs will leave I think 64% is low but that at least fucks the GOP What say you…","Imp"
"They would have Trump’s gang were out for blood were they not","Imp"
"Trump Let’s get relief to the American people Dems racist something something","Imp"
"I'm not optimistic about the impeachment trial I lost my optimism w the Republicans during the very strange (ranti…","Imp"
"I never have either He thinks that he's a liberal person just because he dislikes Trump lol I hat…","Imp"
"that CCP Democrats have some new evidence are you finally going to bring out the Russia…","Imp"
"RT Do you agree with me that trump must be convicted and banned","Imp"
"People act like the only republicans in new england are in Maine No we just have a proportional election system","Imp"
"Since Trump University is off the table go to the next in line","Imp"
"RT The fact the Capitol attack was planned doesn’t clear trump if he helped plan it","Imp"
"just a question if Trump is convicted in the Senate could that mean all the people who carried out…","Imp"
"RT The Biden Presidency will soon be an irrelevant blip on History No true support Selected by the elites Easily forgotte…","Imp"
"RT All of Trump's false claims about the election results can be easily found in the superfast search engine of the","Imp"
"RT As usual zeroes in on a core issue here Senators who vote to acquit Senators who obstruct the trial are…","Imp"
"RT Seriously why are the Democrats pushing another fake impeachment using our tax dollars","Imp"
"Thank you for having the courage to put country above party unlike so many Republicans in Congress…","Imp"
"RT One year ago tomorrow Trump suggested impeaching a former president","Imp"
"RT Where's thr outragethey eviscerated President Trump for doing the same thing","Imp"
"RT Be careful when ascribing GOP actions to the idea that Russia has kompromat on them or hacked RNC emails that they are loy…","Imp"
"RT NEVER FORGET Trump gleefully watched the mob attacking the capitol Even when advisors begged Trump to interced…","Imp"
"RT As Brad Raffensperger opens an investigation into Trump's phone call to him Jason Miller uses his typical abuser defen…","Imp"
"RT Trump told them to stand by Told them to fight Told them to come to DC Told them to stop the steal Told the…","Imp"
"RT When I read this headline I thought it was Sadly no It’s real Just another manifestation of the blindi…","Imp"
"RT ‘We’ve got to make sure this never happens again’ — Rep Liz Cheney stands by her vote to impeach Trump despite attacks f…","Imp"
"I agree that those defending Trump need a reckoning but there is no way we cannot acknowledge that t…","Imp"
"RT Y’all are awfully happy that a Trump supporter won his 7th ringduring Black History Month","Imp"
"RT Most Senate GOP will gaslight They don’t wanna focus on merits of impeachment They know on substance it’s a solid case…","Imp"
"RT The outcome of this show trial is all but official President Trump will be exonerated yet again But Democrats are in…","Imp"
"RT Breaking DOJ to ask Trumpappointed US attorneys to resign","Imp"
"RT ""The President's defense team is going to argue that a number of groups at Trump's Jan 6 rally had been planning to attack…","Imp"
"RT Here's the House impeachment managers' reply to Trump's pretrial brief","Imp"
"I agree with you All factory jobs will close down businesses here and jobs will move to…","Imp"
"RT Incredible","Imp"
"RT If you think Trump is guilty and you live in the USA retweet this If you think Trump is guilty and you live outside…","Imp"
"RT Donald Trump was impeached while he was President Not after","Imp"
"RT Why is Mitch McConnell ""negotiating"" terms of the impeachment if Alan Derschowitz and other Constitutional…","Imp"
"RT Apparently Joe isn’t covering for Hunter the way Republicans cover for Trump","Imp"
"RT Corruption means not havin' to sweat the details","Imp"
"RT Let's drop this bad framing which says GOP senators must choose whether to be ""loyal"" to Trump or not Their choice is a…","Imp"
"RT Trump's lawyers will argue the Senate ""lacks jurisdiction"" to convict him because he's no longer in office This is BS…","Imp"
"RT One month in and Dems have already ▪️Stripped the rights of the Minority Party in the House ▪️Kicked a Republican o…","Imp"
"RT From my latest ""Why the Second Impeachment of Donald Trump Is More Important Than the First"" htt…","Imp"
"RT The House managers plan to use evidence against Trump that hasn't been seen before","Imp"
"RT What are y’all wearing for Impeachment 2","Imp"
"RT Donald Trump was impeached while he was President Not after","Imp"
"RT Trump attempted a coup He incited insurrection He must be held accountable I need you to call your Senators EVERYDAY…","Imp"
"RT “Accepting President Trump’s argument would mean that Congress could not impeach a President who spoke at a Ku Klux Klan ral…","Imp"
"Dems can multitask Trump couldn’t even singletask","Imp"
"RT There is a growing body of evidence that the USCapitol breach was preplanned including a number of FBI affidavits","Imp"
"RT Be ready today for Republicans to demonstrate ignorance at a Biblical proportion","Imp"
"RT IMAGINE THE BLOODSHED IF TRUMP’S INSURRECTIONISTS we’re able to attack Pence’s hiding place while yelling “Hang Mike Pen…","Imp"
"RT Says my aictedtoTrump sister","Imp"
"RT Today begins the trial of America vs Donald J Trump","Imp"
"‘Trump supporters come in and you open the fucking doors for ‘em’ — Joe Scarboroug…","Imp"
"Please do the right thing and vote to convict Trump This matters It really really matters If you…","Imp"
"RT Insane what we have to do to protect America from Republicans","Imp"
"RT The Democrat Party is the party of impeachment removal and division","Imp"
"Yeah trump should get convicted Should have been convicted the first time Waaaay more presidents should be remove…","Imp"
"RT Any Senator who ultimately votes to acquit will have to take the risk that even more decisive evidence will emerge later show…","Imp"
"RT ""So there was a plan Everybody knew It all turned out just as it was scripted"" The best evidence the Trump “incitem…","Imp"
"RT House managers Trump’s ""frivolous"" First Amendment argument would mean Congress couldn't impeach a POTUS who burned a…","Imp"
"RT Senators take note These are the words of your predecessors ""To put it simply the impeachment process could signal t…","Imp"
"RT Democrats are trying to impeach Donald Trump because they know lawfully he is still the President","Imp"
"RT ‼️Peter Navarro “By the last yr of the [Trump] Administration Bill Barr was really working against this administration…","Imp"
"I hope this is a misquote by Fox News Inciting an insurrection is not a mulligan Trump had been lea…","Imp"
"Fr tho He want me to hate on trump for almost starting a…","Imp"
"RT Experts were warning that Trump was planning a Coup in November Democrats should show this video during Trump’s impeach…","Imp"
"RT Trump is said to be optimistic about the trial feeling that the fix is in and GOP Senators will refuse to convict in sp…","Imp"
"“I’ve been involved with a few juries” bwahahahahaha 😂","Imp"
"Thats what happens after an "" attempted coup"" Shame all those REPUBLICANS stormed the capital they w…","Imp"
"RT NOW Chuck Schumer on impeachment ""Sweeping it under the rug will not bring unity  you need truth and accountability""","Imp"
"RT People are giving Democrats a lot of shit for walking back 2000 checks and trying to meanstest them But they’re not…","Imp"
"This is a great thread","Imp"
"Where was he these last 4 years You can find husband him adamantly for the 2 TRILLIO…","Imp"
"Biden DOJ To Request TrumpAppointed US Attorneys’ Resignation","Imp"
"RT It's worth recalling that Trump himself believes a former president can be impeached","Imp"
"RT Trump lied Americans died","Imp"
"RT He must be held accountable ImpeachAndConvict ConvictAndDisqualifyTrump TrumpImpeachment ImpeachmentDay Florid…","Imp"
"Timeline of insurrection at the heart of Trump’s 2nd trial","Imp"
"RT Here we go The resolution is clear The plan is that senators will go straight through the weekend on impeachment includin…","Imp"
"RT CNN Justice Department to ask Trumpappointed US attorneys to resign","Imp"
"Opinion | Trump's gone but leaders still lie Stay vigilant and demand the truth By","Imp"
"Facebook and Twitter should be charged for their rolls in covering up the truth about the Democrats Trump won the world knows it","Imp"
"RT Who else thinks the vote to convict Trump in the Senate should be done by secret ballot ","Imp"
"RT Apparently rules don't apply to Queen Nancy just the little people tcot MAGA","Imp"
"RT Here are the lyrics to a song by some alleged entertainer named Cardi B She says that the only people who object to this “…","Imp"
"RT And the next CSA President Donald J Trump goes on trial today","Imp"
"RT The rally speech was only the match The insurrection was caused by the constant repeating of the big lie — the election…","Imp"
"RT Today’s impeachment hearing in the US Senate is less about donald trump and much more about preventing the next wouldbe do…","Imp"
"RT Dear Republicans How can 500000 Americans die from a HOAX It was a hoax right That's what former disgraced President…","Imp"
"RT The Democrat Party is the party of impeachment removal and division","Imp"
"RT A total of 56 I remember when an investigation was held when W removed 7","Imp"
"RT Trump lied Americans died","Imp"
"RT Who wants to tell that the reason the Chief Justice presides over impeachment trials of sitting presid…","Imp"
"RT The United States Capitol was invaded and desecrated The Senate impeachment trial of Donald Trump is about truth and acco…","Imp"
"But there was that nice letter Trump got so it's all good","Imp"
"Our RegStats page has details on Economically Significant Final Rules Published by Presidential Year 📊…","Imp"
"There was also this scene backstage on January 6th with the Trump family and Kimberley Gu…","Imp"
"RT THE UNITED SOCIALIST STATES OF AMERICA Donald Trump said under his watch America would never be a Socialist Nation Bas…","Imp"
"PM Modi spoke to President Joe Biden on the phone Prakash Raj said after 'this time Trump government' ","Imp"
"RT He called them in with his lies He watched as people died What happened on January 6 was domestic terrorism and US Senator…","Imp"
"RT The Biden admin is continuing Trump's aggressive policies against Nicaragua's elected socialist govt Nicaragua passed…","Imp"
"RT Any of those would shred Lindsey to pieces I suspect after just one the GOP would have a change of heart abou…","Imp"
"RT Guess who will not be able to livetweet or counterprogram his own impeachment trial because he’s just a Florida man with…","Imp"
"RT Heavenly Father please hear the prayers of 100 million Conservatives Please bless amp protect our Former President Donald…","Imp"
"RT A top scholar whose work is cited extensively by former President Trump's lawyers in their impeachment defense brief says…","Imp"
"RT Well said “If the GOP doesn’t take a stand the chaos of the past few months and the past four years could quickly retu…","Imp"
"But can you still have a vice president arrested for all the meany laws he brock while he was in office and I'd now…","Imp"
"RT Striking how many of the Trump loyalists named and profiled in this excellent story on Michigan's budding paramilitary movem…","Imp"
"It won't happen because many in the GOPQ do not have consciences or spines and they've already decided without he…","Imp"
"RT 🔴 LIVE Trump Reacts to Deal on Impeachment Trial Structure Bill Seeks to Nullify Biden Executive Orders | NTD News Today (F…","Imp"
"“The managers then go on to note the criminal activity seen during the Capitol insurrection which resulted in five…","Imp"
"Bashing this government which has been the most transparent cooperative and competent and is 10x so…","Imp"
"RT Russia stopped under Trump Russia resumes under Biden Seems like a story to me","Imp"
"Block party This is how oppressed people are heard no justice no peace…","Imp"
"70 secret service agents injured last summer when they tried to storm…","Imp"
"RT The question isn't whether or not Republican senators will be loyal to Trump It's whether they'll be loyal to Trump or loyal…","Imp"
"RT Think Joe Biden’s calls for “unity” are serious His OMB nominee Neera Tanden is as partisan as they come She ha…","Imp"
"RT SCOOP Biden officials turned down a meeting with El Salvador president when he popped up in DC last week o…","Imp"
"RT Good thread on piece which is otherwise excellent Underscoring the point Biden/Ds have entirely filled…","Imp"
"RT BREAKING The office of Georgia's secretary of state just started an investigation into Trump's phone call to Brad Raf…","Imp"
"RT 📺 TV ALERT Ranking Member will be discussing the Senate impeachment trial on Fox Business with","Imp"
"RT Tell you want him to SaveAmerica and vote to convict Donald J Trump for incitement of insurrection Call…","Imp"
"RT Donald Trump was impeached while he was President Not after","Imp"
"RT ""Sen Hawley on Trump impeachment trial Unconstitutional to try amp convict private citizen""","Imp"
"RT If this were a secret ballot Trump’s conviction would be close to unanimous For the sake of the preservation of Democracy…","Imp"
"RT Most Senate GOP will gaslight They don’t wanna focus on merits of impeachment They know on substance it’s a solid case…","Imp"
"No and it’s a waste in my tax dollars For one trump is a citizen so this has no effect on him","Imp"
"RT Y’all are awfully happy that a Trump supporter won his 7th ringduring Black History Month","Imp"
"RT BREAKING Georgia Secretary of State opens investigation into Donald Trump’s efforts to overturn election","Imp"
"WTH are you talking about Did you only poll democrats","Imp"
"True The week of dealing with Stupidity of GOP Donnie and Magarats","Imp"
"RT This is truly sick and deranged and needs to remove her from this platform immediately","Imp"
"RT Dear Democrats Read the fucking room","Imp"
"Coming Up Watch the Senate Impeachment Trial of President Trump for Inciting Capitol Insurrection via","Imp"
"RT Foreign pipelines that Trump shut down are back in business but American pipelines that employ American workers and cre…","Imp"
"RT That's it When something doesn't go your way amp you happen to be Black it must be because you're Black What BS the Natio…","Imp"
"RT Trump has been asking aides and associates about his potential exposure to criminal prosecution after his impeachment tria…","Imp"
"George Conway takes on Trump's trial arguments","Imp"
"RT So much censorship of conservative voices","Imp"
"RT Just because you like Biden and hate Trump doesn't mean Biden firing every Trump holdover is ok You're just ok with it","Imp"
"Will it be a big controversy like when Trump did it or nah","Imp"
"RT Retweet if you think the senate must VoteToConvict Trump","Imp"
"RT So Trump is threatening Senator’s Sounds like witness/jury/ intimidation to me","Imp"
"RT Tell you want him to SaveAmerica and vote to convict Donald J Trump for incitement of insurrection C…","Imp"
"RT Lee Smith Impeachment ‘Isn’t About Trump’ but ‘Punishing the American Voters’","Imp"
"They're the party of narratives and lies they're basically chanting death to America communist Democr…","Imp"
"RT Jim Jordan just went on Fox and refused to admit Trump had *any* responsibility for 1/6 said ""heck yeah"" Trump sh…","Imp"
"RT Tell you want him to SaveAmerica and vote to convict Donald J Trump for incitement of insurrection Call…","Imp"
"RT You can now be punished by any of the following means for other people's absurd misinterpretations of your words socia…","Imp"
"DONALD TRUMP THE GENIUS HAS DISCOVERED WHO IS MISGOVERNING THE WORLD AND THIS WILL NOT STAY SO HU…","Imp"
"RT New Neera Tanden fielded criticisms from Republicans on the Homeland Security Committee on Tuesday But on Wednesday the t…","Imp"
"Totally agree But “We The People” what we want or think should happen isn’t a priorit…","Imp"
"RT A new category of hypocrites who dishonor their oath Senators who won’t condemn Trump for inciting insurrection but…","Imp"
"RT Hey Senator James Langford If you and other GOP Senators ""Already have your minds made up"" on the Impeachment Trial of D…","Imp"
"Donald Trump’s conviction would truly unite the country and right the ship 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 ImpeachmentTrial ReunitedStates","Imp"
"RT That would be because the GOP only cares about the rich they care not for the poor and underprivileged They don’t care th…","Imp"
"RT BREAKING made GOP leader Marjory Taylor Greene flip out by exposing a video she posted that she thought wasn…","Imp"
"RT 'He has no good defense of his incitement' House managers file scathing memo against Trump","Imp"
"","Imp"
"RT Biden amp the Democrats are never the Party of science but ALWAYS THE PARTY OF POLITICAL SCIENCE WHERE IS GLOBAL WARMING…","Imp"
"RT Breaking DOJ to ask Trumpappointed US attorneys to resign","Imp"
"Even if GOP Senators don't convict him Americans will see Trump's deliberate attempt to take down our…","Imp"
"RT The US under Obama/Biden signed the nuclear deal The US never fully implemented the deal while Iran abided by all obliga…","Imp"
"RT People voted for Obama because of his skin color People voted for Trump because he made and kept Promises amp put us first…","Imp"
"Trump ‘turned red’ when staffers said he had missed a call from Putin new documentary reveals SmartNews Hello can…","Imp"
"RT The Reply of the House Impeachment Managers to President Trump’s Trial Brief","Imp"
"RT Here is the silver lining on Impeachment 20 The Republicans will likely acquit Trump This will allow Trump to continue t…","Imp"
"RT The fools on the left are dancing and celebrating They don't know that the powers being used to silence Trump and his fol…","Imp"
"RT to recap— Trump is a genius but you can't see his grades Trump is rich but you can't see his tax returns Trump is heal…","Imp"
"The GOP is at peak depravity Reagan's bargain with the racist South culminated with Trump—its soul…","Imp"
"The conservatives in the Senate will ignore all the evidence presented during the trial No matter History will co…","Imp"
"RT Strangely the NY Times article on Biden firing 56 attorneysisn't so apocalyptic","Imp"
"RT ""In all three cases the issue has always been the same"" says on Trump's 2016 win and two impeachments ""…","Imp"
"RT In their presentation the managers will attempt to show that Trump spent weeks laying the groundwork for the Capitol rio…","Imp"
"RT It's funny The same crooked shit they were hunting for in Hillary's emails that they wanted to lock her up for is the…","Imp"
"RT Kate Hartson has been fired from Hachette publishing ‘s book was the last one she worked on","Imp"
"RT Impeachment Managers ""Trump only increases his own responsibility by pointing to indications that some of the attackers…","Imp"
"RT 20172020 “That thing Trump did is a danger to Democracy” 2021 “But Trump did it”","Imp"
"Democrats are terrified Trump will come back and expose their corruption He will not be convicted Witchhunt ConvictAndDisqualifyTrump","Imp"
"RT Sometimes when I'm like ""The Democrats are more socially liberal than Western EU centerright parties"" amp then someone is like…","Imp"
"RT ""Commentary Does Anyone Really Think Impeachment Take Two is About Upholding the Constitution""","Imp"
"RT Who wants Trump convicted in the senate now then in a criminal court later","Imp"
"RT Also trump was NOT rushed to safetyever He amp his knew there was no need…","Imp"
"RT ""Trey Gowdy Democrats chose the 'dumbest' possible impeachment article to bring against Trump""","Imp"
"RT 🚨 🚨 MUST READ 🚨 🚨 The Democrats 75 Impeachment Lies","Imp"
"RT This impeachment trial a circus for the Democrat media mob to entertain the masses that they have brainwashed and addicted t…","Imp"
"RT Turley slams Trump impeachment as 'political theater'","Imp"
"RT IMPEACHMENT SPOILER ALERT Trump won't be convicted (again and Democrats have wasted millions of taxpayer dollars (a…","Imp"
"RT Today is one of the most humiliating days of Donald Trump‘s miserable life I’m loving it","Imp"
"RT ♥️♦️Jewelry Trump ♠️♣️","Imp"
"RT ""When you have such a serious charge sweeping it under the rug will not bring unity it will keep the sore open"" Schume…","Imp"
"RT Wow Trump’s net worth is down 2 billion in four years How does this square with leftist allegations that he exploited…","Imp"
"RT The most grievous Constitutional crime is not what Democrats accuse former President Donald J Trump of The House impeac…","Imp"
"That is because people don’t wear their mask and do the things they should The government is getting t…","Imp"
"RT Nikki Haley claimed that Donald Trump was responsible for inspiring Dylan Roof to commit a mass shooting in a church Why…","Imp"
"RT The once proud Grand Old Party who made a CROOK President leave is now the GOVERNMENT OF Pootin Pootin's BITCHES st…","Imp"
"RT To be clear impeachment has *zero* impact on whether a person can be charged criminally afterwards","Imp"
"RT For those who need visual aids and OJ references If the impeachment charge fits Senate must convict","Imp"
"Sure ASAP","Imp"
"RT Who else thinks the vote to convict Trump in the Senate should be done by secret ballot ","Imp"
"Just sitting here waiting for my insincere void of any substance canned text reply from Lindsey Graham I basical…","Imp"
"RT Bus loads of National guard arriving at the Capitol as they every day since in the insurrection Now ahead of the secon…","Imp"
"RT Trump lied Americans died","Imp"
"RT to recap— Trump is a genius but you can't see his grades Trump is rich but you can't see his tax returns Trump is heal…","Imp"
"RT The only thing President Trump has ever incited is success patriotism and love of country","Imp"
"RT Correction/Update The Biden Administration is abandoning the Haitian people while the country's political crisis is paraly…","Imp"
"RT Democrats are literally using impeachment to discipline speech they don't like That is a dangerous precedent to set fo…","Imp"
"RT If Trump was immediately “horrified” by the Capitol attack WHY DID HE WAIT 2 1/2 HOURS BEFORE TELLING THEM TO LEAVE","Imp"
"RT Donald Trump was impeached while he was President Not after","Imp"
"RT Trump’s trial is Constitutional Period","Imp"
"RT What if democrats knew if Trump ran again he would win Beholden to no one but the people Biden is owned as all democ…","Imp"
"RT to recap— Trump is a genius but you can't see his grades Trump is rich but you can't see his tax returns Trump is heal…","Imp"
"My other complaint about CBS News was they had someone on saying that “Democrats want to get through this (impeachm…","Imp"
"RT BREAKING The office of Georgia's secretary of state just started an investigation into Trump's phone call to Brad Raf…","Imp"
"RT IMPEACHMENT SPOILER ALERT Trump won't be convicted (again and Democrats have wasted millions of taxpayer dollars (a…","Imp"
