"tweet_text","topic"
"Ã¢Å¡Â¡ The Paris Agreement on climate change comes into action

https://t.co/JDM8RQQynw","climateChange"
"@drewf000 in this way Jainism actually helps in decreasing global warming and keep environment green too.","climateChange"
"RT @sierraclub: ‘Future Generations’ Sue Obama Administration Over Climate Change http://t.co/YtsJqVjUGN","climateChange"
"RT @mrkjsnsbyn: pls use your voices on climate change, too.","climateChange"
"RT @GrouciDjamila: For all those who still need evidence of the dramatic consequences of global warming, cameras on polar bears show theirâ€¦","climateChange"
"Citing political tensions and climate change, the Bulletin of the Atomic Scientist have moved their symbolic... https://t.co/OpTduHCp7G","climateChange"
"Australia scrubbed from UN climate change report after government intervention https://t.co/Tv6rzyGJ6A","climateChange"
"Migration with dignity must be part of a climate change adaptation strategy https://t.co/URvibH0hZi #carbonfootprint https://t.co/hdkiU0J6Zb","climateChange"
"RT @pkollar: power rangers update: they're fighting a monster called the polluticorn. it's a unicorn that pollutes stuff. global warming pr…","climateChange"
"RT @XiuhtezcatlM: Join my Q&amp;A with @DefendOurFuture, young leaders in the fight against climate change at 3pm EST! #DefendOurFuture https:/…","climateChange"
"RT @Newsweek: Meet the climate change skeptics defending Trump's EPA pick, Scott Pruitt https://t.co/TXD1uwghUv https://t.co/Bd2htYT6Qz","climateChange"
"US Alumni in Pakistan are discussing climate change this weekend - 
Dr. Ramay #ActOnClimate https://t.co/SWKtydZuRi","climateChange"
"Biodiversity loss shifts flowering phenology at same magnitude as global warming #ResearchAndDevelopment https://t.co/KBWWgiIwCy","climateChange"
"The Liberal Party's 30 years of tussles over climate change policy .. https://t.co/oAbGoTQsKU #energy","climateChange"
"RT @NaomiAKlein: Don't talk about guns after a massacre. Or climate change after storms. Or austerity after firetrap buildings burn. Talk w…","climateChange"
"Itâ€™s like global warming. Eventually, when each year is top-ten hottest ever, youâ€™ve got to concede thereâ€™s a trend. https://t.co/M1l1xRFRZF","climateChange"
"RT @MesaSostenible: Industrial #agriculture pollutes air, water &amp; soil, reduces biodiversity &amp; contributes to global #climate change.... ht…","climateChange"
"RT @theecoheroes: Trump's climate change agenda 'immensely depressing' #environment #climatechange https://t.co/0VzTZDdpdx thanks @AndyS_Re…","climateChange"
"RT @Anandraaj04: Ancient Indian aka Vedic India$q$s Solution for Earth Global warming...! @globalwarming   @UNFCCC @UN_climatetalks https://t…","climateChange"
"RT @RwandaResources: More info about how #Rwanda will respond to climate change can be found in the Climate Action Plan here: https://t.co/…","climateChange"
"@Harambe5ever if we move to natural gas over carbon we increase global warming with a much harder time dealing w/ ramifications.","climateChange"
"RT @SquigglyRick: Malcolm Roberts: can't work out email, figured out climate change.","climateChange"
"Iâ€™m not going to get a white Christmas and um...not mad just disappointed our government doesnâ€™t believe in climate change","climateChange"
"Climate Change Update: More than a third of the coral is dead in parts of the Great Barrier Reef https://t.co/czpvT3savF via @HuffPostGreen","climateChange"
"RT @RedLine_Tacoma: Global risks to economy: extreme weather, water shortages, natural disasters &amp; failure to prepare for climate change ht…","climateChange"
"RT @brianklaas: Except Trump, who mainstreamed the birtherism lie, said China invented climate change, peddled bogus voter fraud li…","climateChange"
"RT @citizensclimate: A welcome development. Scientists agree that #climate change is real and human-caused, and our president's top environâ€¦","climateChange"
"There has been no statistically significant global warming in about 17 years. #climate","climateChange"
"Cities within 600 miles of coastlines should prob dig giant cisterns underground for future global warming super storms","climateChange"
"People are so stupid,' says Ben Carson, while avoiding the role of climate change in disasters like Puerto Rico. https://t.co/l5HuOwhDPR","climateChange"
"RT @BenjaminNorton: A new UN report suggests Bernie Sanders was right to call climate change the greatest threat to national security.
http…","climateChange"
