"tweet_text","topic"
"Thinking about how much has changed in a year & how so many in the service industry are unemployed due to  covid19 - wondering when the  pandemic  will finally be over & people can get back to work & will life ever get back to normal...  pic.twitter.com/dtG4QaYyKz","covid"
"A beautiful gesture  
#ottnews  #Ottawa  #COVID19  
   https:// twitter.com/coconutlagoon/ status/1251546339898466305   …","covid"
"Spite is becoming more overrated by the hour! What! Btw volatility in NYSE and Trump's ""hunches"" that  Covid - 19  is gonna fade away in a flash, many millions of ppl are gonna vote like their lives depend on it! #TrumpsToast https:// twitter.com/MN_DIYmom/stat us/1235792928729182211   …","covid"
"Destroying nature unleashes destructive diseases. The Ecology of Disease  https:// nyti.ms/NrGwhc    #coronavirus  #COVIDー19  #nature","covid"
"# COVID19  can't get out more. Gotta keep the kids safe","covid"
"Pathetic you bring up such a rediculous matter during a  pandemic  that is killing 1000s.  Have you no sense if decency.  He surrounds himself with women who are smart and strong.  Black white brown etc.","covid"
"And the truth shall set you free. Good one @w_terrence . Trump is so far ahead of the [DS] at every turn. 

You all need to watch yesterday's  coronavirus  briefing 4/13/20. Its was great.
  https:// youtu.be/VCUxLJRuR-A  ","covid"
"Seasonal  COVID - 19 . I pray that does not happen. That would turn into us being in the house for months on end. Every year. Nah, they better get to fixing this.","covid"
"My gym finally closed... #QuarantineLife   pic.twitter.com/oiMor8gMif","covid"
"Tell me how if we go on  lockdown  I still gotta go to work ","covid"
"Coronavirus  possibly in Atlanta ","covid"
"What if wearing face masks outside is the new normal... #covid19","covid"
"Response to  Coronavirus  ( Covid - 19 ) - Hudson River Sloop Clearwater
 https://www. clearwater.org/latest-news/re sponse-to-coronavirus-covid-19/   …","covid"
"I agree. His notable achievements through this  pandemic  so far have only been the awareneness campaigns on social media. ","covid"
"We made it fam  coronavirus  ends tomorrow    pic.twitter.com/10zbdj54ph","covid"
"I pray this isn’t Iowa’s  Covid - 19  legacy: our slow piecemeal response coupled w/low testing in most places (Tama Co appears to be doing a lot more testing) led to a silent train wreck we suddenly couldn’t handle...we need more testing, we’re not getting a clear picture","covid"
"Just stop with the #coronavirus  and just start with #themeowmeowmovement   https:// vm.tiktok.com/gXRL8W/    it’s easy just say #meowmeow","covid"
"Our Chief Medical Officer Dr. Jane Sykes talks  coronavirus  and pets. @ucdavisvetmed  @AAVMC  @TheCVMA  @VetPracticeNews  @catvetsusan  @DrSueCancerVet https:// twitter.com/ucdavisvetmed/ status/1241139071902048256   …","covid"
"Also he never said the virus was a hoax he was referring to the Democratic Party being a hoax trying to politicize  covid19","covid"
"Ontario, Canada Adopts Temp Measures to Support Local Bars and Restaurants During  COVID - 19 
.
 https://www. liz-palmer.com/ontario-adopts -temporary-measures-to-support-bars-restaurants-and-alcohol-retailers-during-covid-19/   … 
.
#covid _ 19  #toronto  #torontofood  #torontolife  #torontowine  #ontariocanada  #ontario  #agco  #wine  #winelover  #WineWednesday pic.twitter.com/SAFCrodHa8","covid"
"What’s It Like Going On Daily Solo Hikes During A  Pandemic   Lockdown ? Take state-approved 7-14 mile daily solo hikes to help maintain your physical, spiritual, mental and emotional condition  http:// followtheidiot.com/whats-it-like- going-on-daily-solo-hikes-during-a-pandemic-lockdown   …  #travel  #Lockdown  #Walking  #MentalHealth  #Exercise  #wellness  #hike pic.twitter.com/aJoovsUhAY","covid"
"i just bawled my eyes out during a respondus  lockdown  exam.. with webcam. have fun watching me cry!","covid"
"I see a lot of tweets about how we just handed Trump another 4 years. You have every right to feel dissappointed abt Bernie. But when you’re done licking your wounds, seriously consider getting on board with Biden. Unless you want to run back this  pandemic  in another 2 years???","covid"
"This bast...rd not stopping Jamati markaz after Corona janta curfew, let them play hide and seek, put India and world into danger...else after  lockdown  india would practically get rid of corona.  Now this crooked wish u good luck before u die, keep on writing good words for him!  https:// twitter.com/ArvindKejriwal /status/1252812338299691008   …","covid"
"I called my dad earlier to talk about everything going on and he compared the  Coronavirus  to the plague....also said “god started it to eliminate some of the population”. 

He seems to be handling it well. ","covid"
"My emotional asss is not built for this  pandemic .","covid"
"Wednesday night porch sessions in Charles Village   6:30pm
.
I am continuing my regular gig at Nori via live stream during Week 5 of the  COVID - 19  quarantine.   This Wednesday I’ll be joined by @brandonwoody  on…  https://www. instagram.com/p/B-9j92iAP8q/ ?igshid=1r97vh6khw7se   …","covid"
"What a stupid comment to make during this time. Sure you want competitors. We get that. But to use the  pandemic  as an example is idiocy. The sooner you delete the post the better.","covid"
"She made this massive installation about infectious disease...and then  COVID - 19  happened | CBC Arts  https://www. cbc.ca/arts/she-made- this-massive-installation-about-infectious-disease-and-then-covid-19-happened-1.5507164?__vfz=medium%3Dsharebar   …","covid"
"The  COVID - 19  test sucked man, felt like the inside of my face was on fire","covid"
"Guess his cholesterol is high ,eats fast food ice cream, cake and is obese
No one can eat the way he does & not have plaque in the arteries. He also fumbled,struggled & reallly didn't answer the questions about  Coronavirus .","covid"
