"tweet_text","topic"
"@algometaspatial Good and perfect project to embark on thanks for the opportunity given 

@Al_Minimeee 
@Ada_Daddyya 
@Davidbanksz 

#Algo #Airdrop $AMS #metaverse","meta"
"Holding #saitama or #SHIB Then REALITY is 
Expect 2-3x ROI Next 12 Months  

If your looking for 1000x ROI

Then Look At $INARI / @TokenInari
A true #Metaverse with #NFTs #PlayToEarn Online #web3 GAME + More

#followthefox #ETH #cryptocurrency #BTC #FLOKI #Axie #BSCGems #Cryptos https://t.co/HP1IkFCffA","meta"
"@KnightMonter11 always success for the development team to the moon

#KMONS #Chair #pangolin #Flux #Airdrop #polygon #gamefi #metaverse 
@Zaki93736675 @thanhtran1908 @lekmanicik4 @mhanzo01 @GazzaGunawan","meta"
"@kudomoney @AvStarCapital that's is really mind blowing project❤️✌️
never skip that❤️👌
@KingSoly9
@Nsotej
@Fardous47

#crypto #investments #NFT #metaverse","meta"
"Feeling like it could finally be my turn to have gotten in early to a meme coin. How can $HEY not pump it's a native crypto meme vs doggy coins.
Buy $HEY!!!
0xb1Ec55536B2c0Ba575C4Bc8fF96046eeC3027d31
$gm $ens $fren #ETH #BTC #NFT $floki #memecoin
$shib #Metaverse $factr $iotx","meta"
"👉I just joined the @metavpad IDO Whitelist 

🔥GET YOUR GUARANTEED IDO ALLOCATION TODAY! @bscpad @adapadofficial @nft_launch @gamezone_app @velaspad

$VLX $SOL $AVAX $BTC $ETH #VELAS $CAKE $UNI $ADA $KCC #nft #ADA #metaverse #nftcommunity #play https://t.co/d3X30VY1ZN","meta"
"Best birthday gift ","meta"
"$HEY up 200% in less than 2 hours?
How can you not love crypto?
Contract:
0xb1Ec55536B2c0Ba575C4Bc8fF96046eeC3027d31
$gm $ens $fren #ETH #BTC #NFT $floki #memecoin
#dogelon $shib $gn $pn #Metaverse
$mana $hey $gn $raca $yooshi $ghibli $spell $dinger $zinu $ens $tzki $doe","meta"
"💥💥💥express💥💥💥
#CoinMarketCap Added @AlienWorlds in #Metaverse category!💪🙊👏😎
For who worry about that @AlienWorlds is not #Metaverse !😂😂😂 where are you!😉
@AlienWorlds is largest project in #Metaverse dear guys!😉😎💲💥🌙️💰💪💰
#TLM 50$ is loading...💪💰🌙️💥💲","meta"
"@KnightMonter11 Good project

@AlwiRosyidi 
@hamam_44 
@hamfincute 
@bulandihatiku 
@Mujib567890 

#KMONS #FLUX #Metaverse #Chair #Pangolin","meta"
