"tweet_text","topic"
"@SamRamani2 For those old enough to remember Russia to EU gas was never a problem during cold war. 
It became a problem with Yulia but she was smart enough to back down.
After that we had regime change in Ukraine that made it a problem","warUKRU"
"@EndlessNexus @jh_swanson Youre making hypotheticals based on U.S. propaganda. I'm listening to what the leaders of those countries are saying which is the fact that our terrorist govt is occupying Ukraine and instigating war based on bs they made up (as usual)","warUKRU"
"@OlgaNYC1211 @stephenwertheim No it was the Nazis from western Ukraine that started  the war against the eastern regions.  Donbass is the only part left for them to drive out or kill.   There are no Russian forces there, Olga.  The Russians went to Sevastopol, their Naval base In Crimea.","warUKRU"
"@jjhorgan @BrittnyAnderso These people are the problem, not the solution.   Aren’t you watching the news of war in Ukraine?  While Canada was getting woke and diverse and wasting money on climate change boondoggles, Russia was building nuclear plants and pipelines. These people caused the war. #yyj","warUKRU"
"'Whose side are you on?': Russia war threat shakes Ukraine's faith in ties with Germany - Reuters UK. Good job labour are not the government they would be send aid to Russia  https://t.co/subHV3QS6Q","warUKRU"
"@SimonOstrovsky And no, he (or anyone with any official standing) was never ""threatening war"".  Russian position is ""war with Ukraine is inconceivable"", Russian embassy is in Kiev.","warUKRU"
"@1492Nik @mrtambourine5 @Blake_Allen13 That is actually the opposite of truth. After Crimea Ukraine has gotten arms sales and donations from the west every 2 years, is war less likely today than in 2014?","warUKRU"
"Nazi monument in an 🇨🇦Alberta cemetery which is the preferred cemetery for the Ukraine Nazis that Canada hid from the Soviets  and anti-Nazi people as they were hunted for their war crimes. The bottom right pic is the Canadian deputy PM’s grandfather’s headstone at the cemetery. https://t.co/qfqtJSlujg","warUKRU"
"@PekkaPeltonen1 @john_sipher Russia will bomb Finland first in case of war with NATO but before that Washington may need Finnish cannon fodder for their adventures in Ukraine or Africa","warUKRU"
"@Apple889106361 #FalseFlag is much deeper &amp;connected to my ancestors land #RusUkraine, #Chernobyl- RUSt,Halyna is born in Ukraine
Take a look at this shooting from another angle, as signal for war, blood and land grabbing.Fake russia/#Moscovia have nothing to do w/#Rus Hutchins
January 22,2022?","warUKRU"
"@Ramblingrose100 THE WORLD STANDS BY WHILE MURDEROUS DICTATOR PUTIN DESTROYS UKRAINE FREEDOM !!--https://t.co/08tXTuaxbM WHAT WILL IT TAKE FOR SOMEONE TO INTERVENE??  IS NUCLEAR WAR OK NOW TOO???  DISGUSTING !!","warUKRU"
"@RajeshS50119232 @SavitaSikarwar @Ramchandrab123 @KumaPraty @SCongess @HenryPa25941995 @ADiravia @Ahimsa1616 @AaqCyrus @Pandey13K @RajeshK83114811 @SudhirDevSharma @Chandra51364237 @Rao26641901Gs @RameshS05611011 @Hisamud47588796 @indianposten @Nitu29285354 @JitendraManoha6 @SinghRakeshKu14 @_Mahakal_D_ @RajaRajavira @patwalr336 @kirtikishor5 @Satanis43352136 @DhairayJ @Pinky717623862 @TiwariTkt @ra_hindustani @MuzaffarIslam11 @RajivSi45818862 @nareshsharma107 @_Iam_Satan_ @RamaSin24298825 @AnilKum04619533 @shontydhanoa @LalSing40316679 @PrafullaReddy2 @Swarnim52450008 @IamMitesh86 @SanjayP46456817 @teri_pretatma @MdArshad1966 @LucknowMsk @LaxmiRobin @kathuria_n @kumapratyush @jaikishan2900 @chandra08821501 @CsazadSINGH If you zoom this picture, you will see dozens of Russian helicopters petroliing the border with Ukraine.

The exercise does not appear to be just muscle showing but serious war threat is looming large.

If it starts, it is third world War at European soil. https://t.co/oKgOvIw1t9","warUKRU"
"@Superfly29tnt Thanks for your biden vote though, at least I don't get mean tweet but I do get a bunch of neo liberals and neo cons telling me my fellow Americans need to fight a war in Ukraine","warUKRU"
"@PapiTrumpo how will this Russia/Ukraine war end...🙏🏼😳🤠","warUKRU"
